1489019124	17.1
1489020931	16.94
1489022708	16.78
1489025718	16.63
1489028729	16.47
1489033516	16.16
1489036528	16.78
1489037131	17.41
1489037735	18.2
1489038308	18.67
1489038911	19.14
1489039514	19.45
1489040118	19.61
1489040722	19.76
1489041327	19.92
1489041931	20.24
1489042507	20.55
1489043112	20.86
1489043716	21.02
1489044927	20.86
1489045531	20.71
1489046135	20.39
1489046710	20.08
1489047313	19.92
1489047918	19.45
1489048521	19.29
1489049125	19.14
1489049729	18.98
1489050333	18.82
1489051509	18.67
1489052717	18.51
1489053923	18.2
1489056336	18.04
1489058116	17.88
1489059323	17.73
1489060530	17.57
1489062311	17.41
1489064722	17.25
1489066150	17.25
1489066531	17.25
1489067134	17.1
1489071928	16.78
1489076724	16.63
1489079712	17.25
1489080316	17.73
1489080921	18.51
1489081524	18.82
1489082129	19.14
1489082733	19.45
1489083308	19.76
1489083913	20.39
1489084517	20.86
1489085121	21.02
1489085725	21.33
1489086328	21.49
1489087506	21.8
1489089921	21.49
1489090525	21.33
1489092306	21.49
1489094719	21.33
1489095325	21.02
1489095930	20.86
1489096534	20.55
1489104333	18.04
1489105508	17.88
1489106713	17.73
1489108521	17.57
1489110330	17.41
1489112709	17.25
1489114517	17.1
1489117530	16.78
1489120512	16.63
1489122921	17.25
1489123524	18.2
1489124130	18.82
1489124733	19.45
1489125308	19.76
1489125911	20.08
1489126514	20.39
1489127117	20.55
1489127722	20.71
1489128932	20.86
1489129507	21.02
1489131930	19.76
1489132505	19.61
1489133720	19.45
1489134324	19.29
1489135533	19.14
1489136107	18.82
1489136711	18.67
1489137314	18.51
1489138522	18.35
1489139730	18.2
1489141512	18.04
1489143325	17.88
1489144532	17.73
1489146312	17.41
1489149329	17.25
1489151713	17.1
1489152745	17.1
1489152914	17.1
1489155328	16.94
1489158314	16.78
1489162510	16.63
1489166127	17.1
1489166731	17.88
1489167305	18.35
1489167909	18.82
1489168514	19.29
1489169118	19.61
1489170326	19.76
1489172709	19.92
1489173314	20.08
1489173918	20.24
1489174523	20.39
1489175127	20.55
1489175730	20.71
1489178718	20.55
1489181131	20.39
1489181708	20.08
1489182312	19.92
1489182916	19.61
1489191328	17.25
1489192533	17.1
1489194916	16.94
1489196727	16.78
1489198505	16.63
1489200313	16.47
1489202724	16.16
1489205134	16
1489208116	15.84
1489209924	16.16
1489210528	16.47
1489211131	16.63
1489211734	16.78
1489212306	16.94
1489214118	17.1
1489214723	16.94
1489215930	16.78
1489217106	17.1
1489217710	17.73
1489218313	17.88
1489218917	18.04
1489220726	17.88
1489221330	17.73
1489221933	17.41
1489222506	17.25
1489223109	17.1
1489224314	16.94
1489224917	16.78
1489226123	16.63
1489226727	16.47
1489227933	16.16
1489229714	15.69
1489230320	15.22
1489230924	15.53
1489231528	15.22
1489232706	15.37
1489233309	15.53
1489234515	15.69
1489235119	15.84
1489238107	16
1489238710	16.78
1489239338	16.78
1489239930	18.67
1489240505	19.14
1489241718	19.92
1489242322	20.08
1489242925	20.24
1489243528	20.39
1489245309	20.08
1489245912	19.76
1489246516	19.29
1489247120	18.98
1489247725	18.67
1489248329	18.51
1489250111	18.2
1489253733	18.51
1489256118	17.73
1489256726	16.31
1489257330	16.94
1489258508	19.45
1489259113	19.92
1489259716	20.39
1489260320	20.86
1489260923	21.02
1489261527	21.49
1489262732	21.65
1489263305	21.8
1489265114	22.12
1489269306	21.8
1489269911	21.65
1489270514	21.18
1489271118	20.86
1489271721	20.55
1489272325	20.24
1489272929	19.92
1489273532	19.76
1489274104	19.45
1489274708	19.29
1489275313	18.82
1489275927	18.67
1489276530	18.51
1489277706	18.2
1489278309	18.04
1489279514	17.88
1489280118	17.73
1489281322	17.41
1489282527	17.25
1489283732	17.1
1489284907	16.94
1489287316	16.78
1489289726	16.63
1489292710	16.47
1489295120	16.16
1489296325	16.47
1489297532	16.63
1489298105	16.78
1489302927	16.63
1489304133	17.25
1489304707	18.04
1489305311	18.35
1489305914	18.51
1489307723	18.35
1489308327	18.2
1489308930	18.04
1489309533	17.88
1489310106	17.73
1489310709	17.41
1489311311	17.25
1489311914	17.1
1489312517	16.94
1489313722	16.78
1489314325	16.63
1489315531	16.47
1489317314	16.16
1489319727	16
1489323315	15.84
1489325942	15.84
1489326321	15.84
1489331717	15.69
1489334131	16
1489334706	17.1
1489335914	19.29
1489336519	20.08
1489337123	20.55
1489337728	20.86
1489338905	21.33
1489340112	21.49
1489340716	21.8
1489344307	21.49
1489344912	21.33
1489345516	21.49
1489347324	21.8
1489347927	21.96
1489349133	22.12
1489351514	21.96
1489354531	21.8
1489355711	21.33
1489356315	20.86
1489356918	20.39
1489357523	20.08
1489358127	19.92
1489358730	19.45
1489359304	19.29
1489359908	18.98
1489360511	18.82
1489361114	18.67
1489361717	18.51
1489362320	18.2
1489362923	18.04
1489364128	17.88
1489365905	17.73
1489366508	17.57
1489367713	17.41
1489368918	17.25
1489370124	17.1
1489372503	16.78
1489373709	16.63
1489375516	16.47
1489377324	16.31
1489379732	16.16
1489382112	16.63
1489382715	17.41
1489383319	17.88
1489383923	18.2
1489384526	18.67
1489385129	18.98
1489385732	19.14
1489386909	19.29
1489387515	19.76
1489388120	20.24
1489388724	20.39
1489389327	20.55
1489390505	20.71
1489391110	20.55
1489391715	20.39
1489392319	20.08
1489392923	19.76
1489393527	19.29
1489394130	19.14
1489394704	18.82
1489395307	18.67
1489395912	18.2
1489396515	18.04
1489397119	17.88
1489397722	17.73
1489398326	17.57
1489398930	17.41
1489400107	17.25
1489400710	17.1
1489401916	16.78
